t,avg_biomass,coop_rate,avg_payoff
415,1.5959844991269243e-08,0.0,8745.92
416,1.5260393963158304e-08,0.0,8762.6
417,1.461281747061343e-08,0.0,8779.32
418,1.406535249256217e-08,0.0,8804.32
419,1.3558087080310834e-08,0.0,8829.32
420,1.2963894722437758e-08,0.0,8845.64
421,1.2413770428406685e-08,0.0,8861.4
422,1.194869211276566e-08,0.0,8885.44
423,1.15177638287681e-08,0.0,8909.6
424,1.1012990021556572e-08,0.0,8926.12
425,1.0545652583296016e-08,0.0,8942.36
426,1.0150562762895392e-08,0.0,8967.0
427,9.784483819583665e-09,0.0,8991.64
428,9.355672184375178e-09,0.0,9008.32
429,8.958663210758069e-09,0.0,9024.16
430,8.623029488347298e-09,0.0,9048.2
431,8.312040867264392e-09,0.0,9072.36
432,7.947760042938849e-09,0.0,9088.2
433,7.610495975668665e-09,0.0,9105.84
434,7.208845486159739e-09,0.0,9129.12
435,6.944948093429883e-09,0.0,9153.12
436,6.64432079182393e-09,0.0,9171.2
437,6.365973193326268e-09,0.0,9187.92
438,6.032308182755653e-09,0.0,9210.08
439,5.8083533007611856e-09,0.0,9235.08
440,5.559918125938474e-09,0.0,9253.56
441,5.329881525256618e-09,0.0,9270.92
442,5.052363934566713e-09,0.0,9294.2
443,4.862291865667168e-09,0.0,9318.24
444,4.656713312721913e-09,0.0,9335.76
445,4.466348840756671e-09,0.0,9354.04
446,4.292046091388045e-09,0.0,9378.68
447,4.130577501605583e-09,0.0,9403.32
448,3.9559359604350954e-09,0.0,9419.4
449,3.794218970541599e-09,0.0,9435.56
450,3.6461466140638667e-09,0.0,9459.56
451,3.5089770359944412e-09,0.0,9483.6
452,3.3606168716077846e-09,0.0,9500.12
453,3.2232362745033725e-09,0.0,9516.8
454,3.0974469634471093e-09,0.0,9540.96
455,2.9809196984376854e-09,0.0,9565.96
456,2.85488589093942e-09,0.0,9581.68
457,2.738179362597696e-09,0.0,9597.52
458,2.6313197761379237e-09,0.0,9622.16
459,2.5323284131515617e-09,0.0,9647.16
460,2.42526112389112e-09,0.0,9664.04
461,2.3261174744467963e-09,0.0,9680.08
462,2.235338924787005e-09,0.0,9704.24
463,2.1512445289663404e-09,0.0,9728.24
464,2.060289533170211e-09,0.0,9744.96
465,1.97606576808911e-09,0.0,9761.64
466,1.898948259472444e-09,0.0,9786.64
467,1.827509022794171e-09,0.0,9811.64
468,1.7502416209724194e-09,0.0,9827.68
469,1.6786924834833395e-09,0.0,9843.52
470,1.6131801993777257e-09,0.0,9868.16
471,1.5524916780082584e-09,0.0,9894.72
472,1.4868520577474223e-09,0.0,9910.72
473,1.4260701742611239e-09,0.0,9926.76
474,1.370416672920226e-09,0.0,9951.12
475,1.3188610181056054e-09,0.0,9975.28
476,1.263099343107216e-09,0.0,9991.6
477,1.2114643760048415e-09,0.0,10007.48
478,1.1641860334149837e-09,0.0,10031.52
479,1.120388862489967e-09,0.0,10055.52
480,1.0560447743970144e-09,0.0,10072.0
481,1.0122226613191516e-09,0.0,10087.68
482,9.568469649469462e-10,0.0,10112.96
483,9.208709618379638e-10,0.0,10138.4
484,8.819162790457007e-10,0.0,10155.84
485,8.458445733708553e-10,0.0,10171.88
486,8.128534151686131e-10,0.0,10196.24
487,7.822913524177891e-10,0.0,10220.88
488,7.491988641717314e-10,0.0,10237.52
489,7.185555008967326e-10,0.0,10254.0
490,6.905291010715208e-10,0.0,10279.44
491,6.645662480884879e-10,0.0,10303.44
492,6.364537671268982e-10,0.0,10320.76
493,6.104218483341638e-10,0.0,10337.4
494,5.866130725893284e-10,0.0,10362.84
495,5.645573055900512e-10,0.0,10388.28
496,5.406754028461992e-10,0.0,10405.44
497,5.185609635800435e-10,0.0,10421.2
498,4.915209249557682e-10,0.0,10444.24
499,4.728013116331049e-10,0.0,10468.24
